case_id,category,is_negative,query,relevant_log_ids,expected_causes,expected_steps,forbidden_advice,model_answer,reviewer,cause_score_1_to_5,evidence_score_1_to_5,steps_score_1_to_5,forbidden_advice_hit_yes_no,negative_refusal_yes_no_na,notes
J001,java,false,Java 启动时报 ClassNotFoundException: com.example.UserService，如何定位？,"[""java_error_deepseek.csv:000001""]","[""类路径缺少 JAR、类名拼写错误或打包遗漏""]","[""检查运行时 classpath 和构建产物"", ""核对全限定类名及依赖作用域""]","[""不得从未知来源手工复制 JAR 到生产目录""]","# 问题诊断
1. 类加载器无法找到类 com.example.UserService
2. JAR文件路径错误或缺失
3. 
4. 
5. 

# 可能原因（按概率降序排序）
1. 缺少依赖的JAR文件：com.example.UserService所在的JAR文件未正确添加到项目依赖中
2. 依赖管理工具配置错误：Maven/Ivy等工具未正确解析依赖信息
3. JAR文件路径拼写错误：类加载器无法定位到正确的JAR文件
4. 
5. 

# 建议的排查步骤
1. 检查类路径，确认所有依赖的JAR文件是否存在并位于正确位置
2. 使用mvn clean install或ivy命令重新编译项目以发现依赖问题
3. 查看配置文件（如application.yml）中是否正确指定了com.example的服务类路径
4. 
5. 

# 临时缓解措施
1. 手动复制缺失的JAR文件到项目根目录下的lib目录中
2. 检查配置文件中的路径拼写，确保与实际JAR文件位置一致
3. 使用mvn dependency:check命令验证依赖是否已正确解析
4. 
5. 

# 最终修复建议
1. 使用mvn clean install或ivy命令重新编译项目以修复依赖问题
2. 查找并下载缺少的JAR文件，并将其添加到项目的依赖中
3. 检查配置文件中的路径拼写，确保所有依赖的JAR文件位置正确
4. 
5.",,,,,,,
J002,java,false,UserController.getUser 中 user 为 null 导致 NullPointerException，怎么查？,"[""java_error_deepseek.csv:000002""]","[""对象未初始化、查询返回空值或依赖注入失败""]","[""沿调用链确认 user 的来源"", ""在边界处处理不存在结果并补充测试""]","[""不得用全局 try-catch 静默吞掉空指针""]","# 问题诊断
1. 用户在调用UserController.getUser方法时，传入的参数可能不完整或不符合预期。
2. 可能存在依赖注入失败的情况，导致用户对象未被正确赋值。
3. 可能存在配置错误，导致用户对象无法初始化。
4. 
5. 

# 可能原因（按概率降序排序）
1. 用户在调用UserController.getUser方法时，传入的参数可能不完整或不符合预期。例如，用户可能没有传递足够的信息或参数类型有
2. 依赖注入失败，导致用户对象未被正确赋值。这可能是由于配置文件中的依赖注入设置错误，或者服务中缺少必要的构造函数。
3. 配置文件中存在错误，导致用户对象无法初始化。例如，配置文件中可能缺少必要的字段或路径信息。
4. 
5. 

# 建议的排查步骤
1. 检查调用UserController.getUser方法的组件代码，确保传入的参数符合预期类型和格式。
2. 检查依赖注入是否正确设置，确保所有必要的构造函数被正确注入。
3. 检查配置文件中的用户相关配置，确保配置文件完整且无误。
4. 
5. 

# 临时缓解措施
1. 在调用UserController.getUser方法时，增加参数的检查逻辑，确保传入的参数符合预期类型和格式。
2. 如果依赖注入失败，可以尝试手动构造用户对象，并传递给UserController进行初始化。
3. 如果配置文件存在错误，可以参考官方文档或社区资源查找解决方法，并逐步修复。
4. 
5. 

# 最终修复建议
1. 检查调用代码中的参数是否正确传递，确保所有必要的信息都被包含在内。
2. 确保依赖注入的配置正确无误，所有必要的构造函数被正确注入。
3. 重新检查配置文件的相关部分，确保配置文件完整且无误。如果存在错误，及时修复并重新测试。
4. 如果问题仍然存在，可以考虑联系技术支持或社区资源，获取进一步的帮助和建议。
5.",,,,,,,
J003,java,false,MyBatis 执行 SELECT users 时 SQLException，优先看哪些点？,"[""java_error_deepseek.csv:000006""]","[""数据库连接超时或 SQL 语法错误""]","[""保留 SQLState 与数据库错误码"", ""检查连接池健康、SQL 和表结构""]","[""不得直接在生产库执行破坏性修复 SQL""]","# 问题诊断
1. SQL语句拼写错误：SQL注入器异常提示自定义方法冲突，可能与自定义SQL方法重复有关。
2. 数据库配置问题：MapperRegistry中的无效绑定语句可能导致MyBatis映射异常。
3. 结果集映射失败：ResultMapHandler映射失败提示数据库列名与Java属性名不匹配。
4. 
5. 

# 可能原因（按概率降序排序）
1. 自定义SQL方法与方法名重复，导致SQL注入器异常。
2. MyBatis映射文件配置错误或XML配置问题，影响结果集映射。
3. 数据库连接超时或SQL语法错误，导致 SQLException。
4. 
5. 

# 建议的排查步骤
1. 检查自定义SQL方法列表，确保没有与现有方法重复的名称。
2. 验证MyBatis映射文件中的用户配置是否正确，并检查XML配置是否有误。
3. 确保数据库连接正常，尝试单独运行SELECT * FROM users语句，查看是否存在语法错误。
4. 
5. 

# 临时缓解措施
1. 修改自定义SQL方法的名称，避免与现有方法冲突。
2. 暂时禁用MyBatis映射功能，使用默认配置进行测试。
3. 使用SQL语句工具检查是否存在拼写或语法错误。
4. 
5. 

# 最终修复建议
1. 更新自定义SQL方法列表，确保没有重复的方法名。
2. 重新配置MyBatis映射文件，并验证XML配置的正确性。
3. 检查数据库连接设置，确保连接正常且SQL语句无误。
4. 
5.",,,,,,,
J004,java,false,Spring Boot 创建 dataSource Bean 失败并抛 BeanCreationException，如何排查？,"[""java_error_deepseek.csv:000007""]","[""依赖注入失败或数据源配置属性缺失""]","[""读取最内层 caused by"", ""校验数据源配置、Profile 和驱动依赖""]","[""不得把数据库密码写入源码验证""]","# 问题诊断
1. BeanCreationException：创建Bean 'dataSource' 失败，提示依赖注入失败或配置属性缺失。
2. NoSuchBeanDefinitionException：未找到Bean定义: DataSource，提示配置类未正确启用数据源自动配置。
3. CircularService：Bean正在创建中，提示循环依赖导致初始化失败。
4. 
5. 

# 可能原因（按概率降序排序）
1. 数据源配置文件中缺少或不正确，导致 dataSource 无法被发现或注入。
2. 靠近注入的组件存在依赖注入问题，导致无法正常注入到 dataSourceBean。
3. 应用中存在循环依赖，导致 Bean 初始化失败。
4. 
5. 

# 建议的排查步骤
1. 检查应用的配置文件，确保所有必要的数据源配置都已正确设置，并且依赖的组件是否被正确启用和配置。
2. 使用工具如JVM调试或日志查看BeanFactory的注入过程，找出注入失败的具体原因。
3. 检查应用的类加载顺序，确保没有循环依赖的情况。
4. 
5. 

# 临时缓解措施
1. 手动指定数据源路径，例如修改application.properties中的spring.datasource.url为已知有效值。
2. 在BeanFactory中调整注入策略，例如使用更安全的注入方式或增加最大注入次数。
3. 如果问题依旧，尝试卸载并重新安装依赖组件。
4. 
5. 

# 最终修复建议
1. 仔细检查和验证所有数据源配置文件，确保其正确性和完整性。
2. 确保所有依赖组件都已正确启用，并且配置属性设置无误。
3. 检查应用的类加载顺序，避免循环依赖的情况出现。
4. 
5.",,,,,,,
J005,java,false,JVM 报 OutOfMemoryError: Java heap space，如何判断泄漏还是堆太小？,"[""java_error_deepseek.csv:000008""]","[""内存泄漏或 JVM 最大堆配置不足""]","[""保存 heap dump 与 GC 日志"", ""比较对象留存趋势后再调整 Xmx""]","[""不得只无限增大堆而不分析对象留存""]","# 问题诊断
1. 错误类型：OutOfMemoryError: Java heap space
2. 错误描述表明在JVM中堆空间不足，导致错误。
3. 服务影响：主要影响服务'java'，但也涉及其他如jvm、PySpark等服务。
4. 可能的异常原因：
5. 内存泄漏

# 可能原因（按概率降序排序）
1. 内存泄漏：JVM堆空间中存在未释放的内存对象，导致可用空间不足。
2. 堆配置过小：JVM初始化时设置的堆大小不足以支持当前应用的需求。
3. 高负载任务：大量并发任务或线程使得堆空间被过度使用。
4. 
5. 

# 建议的排查步骤
1. 检查JVM堆大小设置：确认JVM是否启用了适当的堆大小配置，必要时调整初始堆大小。
2. 分析内存使用情况：使用系统工具或调试工具监控应用的内存使用情况，识别是否有异常增加的内存占用。
3. 排查内存泄漏：检查代码中是否存在未正确释放的对象引用，并尝试修复。
4. 
5. 

# 临时缓解措施
1. 增加JVM堆大小：暂时将JVM的初始堆大小增加到更高的值，以缓解短期内存不足的问题。
2. 启用JVM调试输出：通过设置-JXX: VerboseOutput为真，获取更多关于内存使用的详细信息，帮助定位问题。
3. 使用GDB进行堆跟踪：在应用启动时注入GDB，跟踪堆中的对象，识别是否有内存泄漏或异常增长。
4. 
5. 

# 最终修复建议
1. 调整JVM堆大小设置：根据应用的需求和性能测试结果，动态调整JVM的初始堆大小。
2. 优化代码以减少内存占用：审查代码逻辑，避免不必要的对象创建，并采用更高效的内存管理策略。
3. 定期监控和维护：建立持续的内存使用监控机制，及时发现并解决潜在的内存问题。
4. 
5.",,,,,,,
J006,java,false,Spring 检测到 A→B→A 的 CircularDependency，应该怎样拆解？,"[""java_error_deepseek.csv:000018""]","[""Bean 之间相互引用形成循环依赖""]","[""绘制依赖关系并定位闭环"", ""提取共同职责或使用事件解耦""]","[""不得默认开启循环依赖掩盖架构问题""]","# 问题诊断
1. 检测到循环依赖：日志显示A→B→A的循环依赖，导致无法完成依赖注入。
2. 影响范围广：可能涉及多个组件和服务，需要全面排查所有相关的Bean和构造方法。
3. 配置错误：可能是手动配置或BeanFactory中的依赖注入顺序问题。
4. 
5. 

# 可能原因（按概率降序排序）
1. 手动配置错误：某些配置文件中存在循环引用的定义。
2. 构造方法调用问题：A或B的构造方法中调用了对方，导致循环依赖。
3. BeanFactory配置不当：没有正确设置依赖注入顺序或共享池策略。
4. 
5. 

# 建议的排查步骤
1. 检查所有Bean配置：遍历所有与A和B相关的Bean类，查看是否有手动配置的引用。
2. 审查构造方法调用：确认A和B的构造方法中是否调用了对方或其他相关Bean。
3. 分析BeanFactory依赖注入顺序：确保BeanFactory的依赖注入顺序正确，没有循环调用的情况。
4. 
5. 

# 临时缓解措施
1. 禁用过滤器：暂时关闭消息过滤器，观察是否仍然存在异常。
2. 调整依赖注入顺序：在构造方法中将较不重要的Bean放在前面，避免先创建后被引用。
3. 使用Bean影子类：隔离循环依赖，确保不影响其他业务逻辑。
4. 
5. 

# 最终修复建议
1. 彻底检查配置文件：逐一排查所有与A和B相关的Bean配置，确保没有手动的循环引用。
2. 优化构造方法依赖注入顺序：重新审视构造方法中的调用关系，合理排序以避免循环依赖。
3. 调整BeanFactory共享池策略：根据业务需求调整共享池策略，确保资源分配合理，避免资源不足导致的异常。
4. 
5.",,,,,,,
J007,java,false,JedisClient 报 Redis Connection refused，服务调用失败，先查什么？,"[""java_error_deepseek.csv:000027""]","[""Redis 未启动、地址端口错误或网络不可达""]","[""检查 Redis 监听与健康状态"", ""从应用所在网络验证地址、端口和防火墙""]","[""不得在公网开放无认证 Redis""]","# 问题诊断
1. JedisClient正在尝试与Redis服务器建立连接，但遇到了Connection refused的错误。
2. 根据日志信息，Redis服务可能未启动或网络配置存在问题。
3. 可能存在多个原因导致Redis无法被访问，例如Redis服务本身的问题、网络连接问题或其他依赖组件的问题。
4. 
5. 

# 可能原因（按概率降序排序）
1. Redis服务未启动或不可用：检查Redis服务的状态和配置，确保其正常运行。
2. 网络连接问题：确认目标主机的网络设置是否正确，并尝试从其他设备或端口访问Redis服务器。
3. Redis配置错误：检查Redis的地址、端口号以及相关的超时设置是否有误。
4. 
5. 

# 建议的排查步骤
1. 检查Redis服务的状态和配置，确保其正常运行并能够被JedisClient访问。
2. 使用curl或其他工具测试Redis的可达性，确认目标服务器是否在线。
3. 调整Redis相关的超时设置或延长会话期限，以避免因超时导致的连接问题。
4. 
5. 

# 临时缓解措施
1. 延长Redis命令查询的时间限制（RedisCommandTimeoutException）。
2. 调整JedisClient的超时设置，确保其在尝试连接Redis时不会立即失败。
3. 使用telnet等工具检查Redis服务器是否在线，并确认网络连接没有问题。
4. 
5. 

# 最终修复建议
1. 确保Redis服务启动并配置正确，包括地址、端口号和相关参数。
2. 检查并解决网络连接问题，确保目标主机能够正常与Redis服务器通信。
3. 调整Redis相关的超时设置或延长会话期限，以提高Redis的可用性和稳定性。
4. 
5.",,,,,,,
J008,java,false,Feign 调用提示目标服务不可用，注册中心里找不到实例，怎么处理？,"[""java_error_deepseek.csv:000028""]","[""目标服务未注册或健康检查失败""]","[""核对服务名与注册状态"", ""检查目标实例健康检查和网络连通性""]","[""不得长期关闭健康检查强制导流""]","# 问题诊断
1. 目标服务未注册或健康检查失败：日志1显示服务不可用，错误是Feign调用失败，目标服务未注册或健康检查失败。
2. 目标不存在：日志2显示目标服务'nonexistent.com'不存在，提示目标不存在。
3. 本地化数据缺失：日志5显示'Locale data not found'，提示本地化数据不存在。
4. 
5. 

# 可能原因（按概率降序排序）
1. 目标服务未注册或配置错误：主要原因是服务未被正确注册或配置，导致无法访问。
2. 本地化数据缺失：生成内容时依赖的本地化数据不存在，导致失败。
3. 提供者加载失败：提供者加载失败影响了相关组件的工作，如日志6所示。
4. 
5. 

# 建议的排查步骤
1. 检查目标服务的注册状态和健康状况：确认服务是否正确注册并保持健康。
2. 查看本地化数据是否存在：确保所有依赖的本地化数据文件存在且完整。
3. 确认提供者的加载过程：检查组件是否正确绑定依赖项，确保提供者能够正常加载。
4. 
5. 

# 临时缓解措施
1. 启用缓存或使用默认值填充缺失的数据：在本地化数据缺失时，可以暂时返回空内容或默认值。
2. 在异常时返回空内容：避免因本地化数据缺失导致整体系统崩溃。
3. 检查并修复提供者依赖项：确保所有组件能够正常加载和绑定依赖项。
4. 
5. 

# 最终修复建议
1. 确保目标服务的注册配置正确无误，并保持其健康状态。
2. 定期检查和更新本地化数据，确保所有依赖项都存在且完整。
3. 对提供者进行深入检查，确保其依赖项已正确绑定并能够正常加载。
4. 
5.",,,,,,,
J009,java,false,Spring Kafka 监听器反序列化失败并抛 KafkaException，如何定位消息问题？,"[""java_error_deepseek.csv:000072""]","[""消息格式与消费者配置的反序列化器不匹配""]","[""保留失败消息的 schema/version 元数据"", ""核对生产者与消费者序列化配置并设置死信处理""]","[""不得直接跳过并丢弃所有反序列化失败消息""]","# 问题诊断
1. 错误类型：KafkaException
2. 日志描述：Kafka监听器失败: 反序列化错误
3. 原因分析：反序列化过程中数据格式或内容不匹配
4. 错误类型：RecordDeserializationException
5. 日志描述：记录反序列化失败: 数据格式错误

# 可能原因（按概率降序排序）
1. 消息内容与配置的反序列化器不匹配
2. 消费者组重新平衡导致提交冲突
3. 生产者发送的消息结构不符合消费者预期
4. 
5. 

# 建议的排查步骤
1. 验证生产内容和消费者配置的一致性
2. 检查生产者的消息结构是否与消费者配置一致
3. 确保生产的内容符合消费者的期望
4. 限制消息大小，防止溢出
5. 使用KafkaProducer限制消息大小

# 临时缓解措施
1. 捕获和日志详细异常信息
2. 在生产者中添加try-catch块，捕获并记录详细错误信息
3. 使用Kafka消费者工具的日志功能跟踪反序列化过程
4. 限制消息大小
5. 在生产者中设置消息大小上限

# 最终修复建议
1. 彻底检查和验证生产者和消费者之间的消息结构一致性
2. 使用Kafka调试工具（如kafka-console-consumer）验证消息结构
3. 检查生产者的消息生成逻辑是否正确
4. 优化消息结构，确保符合消费者配置
5. 在生产者中调整消息格式，使其与消费者配置一致",,,,,,,
J010,java,false,Spring Security 报 BadCredentialsException，用户名密码确认过仍失败，怎么查？,"[""java_error_deepseek.csv:000058""]","[""输入凭据与存储信息不匹配或密码编码器配置不同""]","[""核对用户状态与密码编码器"", ""检查认证 Provider 和数据源但不记录明文密码""]","[""不得在日志中打印用户明文密码""]","# 问题诊断
1. 用户输入的凭据与存储信息不匹配
2. 根据日志1，BadCredentialsException通常是因为用户提供的用户名或密码与数据库中的记录不符。虽然用户确认过输入，但可能有
3. 预认证凭证未找到
4. 如果使用了PreAuthenticatedAuthenticationProvider（如日志2所示），则请求头中必须包含有效的预认证信息。
5. JCR配置文件存在问题

# 可能原因（按概率降序排序）
1. JCR配置文件中的principal或credentials不正确
2. 配置文件中存储的用户信息可能与实际数据库中的用户信息不符。需要对比确认配置文件的内容和数据库中的设置是否一致。
3. 预认证凭证丢失或损坏
4. 如果使用了预认证，请求头中的凭证可能被截获、篡改或丢失。检查请求头中的预认证内容是否完整且有效。
5. JCR存储的用户数据有误

# 建议的排查步骤
1. 检查Spring Security JCR配置文件
2. 确认principal和credentials字段是否与实际应用环境中的用户信息一致，并对比数据库中的设置是否有差异。
3. 验证请求头中的预认证凭证
4. 如果使用了PreAuthenticatedAuthenticationProvider，确保请求头中包含正确的预认证信息，并且没有被篡改或丢
5. 检查JCR存储的用户数据

# 临时缓解措施
1. 修改JCR配置文件中的principal或credentials字段
2. 根据实际应用环境中的用户信息，调整JCR配置文件中的principal和credentials值，确保与数据库中的设置一致。
3. 启用JCR调试级别为DEBUG
4. 在Spring Security的JCR配置中启用DEBUG调试级别，获取更多关于认证过程的详细日志信息。例如：
5. `properties

# 最终修复建议
1. 彻底检查和更新JCR配置文件
2. 确保JCR配置文件中的principal、credentials和jcr.truststore.path字段与数据库中的用户信息完全一致。如
3. 验证预认证凭证的完整性和有效性
4. 如果使用了预认证，确保请求头中的预认证信息没有被篡改或丢失，并且格式正确无误。
5. 更新数据库中的用户信息",,,,,,,
L001,linux_command,false,bash 提示 somecommand: command not found，如何判断是没安装还是 PATH 问题？,"[""linuxcomand_error_deepseek.csv:000001""]","[""命令不存在、未安装或不在 PATH 中""]","[""使用 command -v 检查命令解析"", ""核对包安装状态和当前 PATH""]","[""不得从不可信网站下载同名可执行文件""]","# 问题诊断
1. 命令可能未被安装到系统中。
2. 命令可能不在用户的PATH环境中。
3. 命令可能拼写错误。
4. 
5. 

# 可能原因（按概率降序排序）
1. 命令未被安装到系统中。
2. 命令不在用户的PATH环境中。
3. 命令拼写有误。
4. 
5. 

# 建议的排查步骤
1. 检查命令是否正确拼写，并确认是否存在。
2. 查看用户的PATH环境变量，确保目标命令所在的程序包被正确添加进去。
3. 使用man命令查看目标命令的文档以确认其存在性。
4. 
5. 

# 临时缓解措施
1. 如果确定是命令不存在的问题，可以尝试安装依赖项或查找正确的命令名称。
2. 如果是PATH问题，可以手动调整PATH环境变量，将包含命令的程序包路径添加进去。
3. 可以使用set -x来查看shell的执行过程，帮助确认命令是否被正确识别。
4. 
5. 

# 最终修复建议
1. 查找目标命令的官方文档或在线资源，确认其是否存在，并按照官方指导安装依赖项。
2. 使用man命令或其他工具验证目标命令的存在性，并确保其所在的程序包被正确添加到PATH环境中。
3. 如果是拼写错误导致的问题，请检查命令是否应为其他形式，并尝试运行正确的命令。
4. 
5.",,,,,,,
L002,linux_command,false,执行 ls /root 返回 Permission denied，应该如何确认权限？,"[""linuxcomand_error_deepseek.csv:000002""]","[""当前用户没有访问 /root 的权限""]","[""使用 id 和 namei 检查身份及路径权限"", ""按最小权限申请授权""]","[""不得递归 chmod 777 根目录""]","# 问题诊断
1. 用户多次尝试执行ls /root等命令时返回Permission denied错误
2. 错误信息一致显示用户没有权限访问/目录
3. 相关日志中均未发现权限相关的配置或修改记录
4. 
5. 

# 可能原因（按概率降序排序）
1. 用户缺乏读取/目录的权限
2. root用户的权限配置存在问题
3. 系统中的权限设置存在冲突或错误
4. 
5. 

# 建议的排查步骤
1. 检查用户是否拥有读取/目录的权限，可以使用ls /root --parents或stat /root查看
2. 查看root用户的权限配置文件cat /etc/passwd，确认是否有被修改过
3. 检查系统中的权限设置是否存在冲突或错误
4. 
5. 

# 临时缓解措施
1. 在其他用户下执行ls /root指令，观察是否权限有所变化
2. 运行sudo命令，确保用户拥有足够的权限
3. 在终端中输入sudo ls /root，确认是否权限有所提升
4. 
5. 

# 最终修复建议
1. 详细检查用户的权限配置文件cat /etc/passwd，并确保没有被修改过
2. 验证父目录的权限设置，确保其权限允许子目录的操作
3. 使用chown命令将/目录的所有者和组别改为root用户，确认是否权限有所提升
4. 
5.",,,,,,,
L003,linux_command,false,git 报 not a git repository，当前目录为什么识别不到仓库？,"[""linuxcomand_error_deepseek.csv:000005""]","[""当前目录及父目录不存在 .git""]","[""执行 pwd 并定位正确工作目录"", ""确认仓库是否完整 clone 或是否误删 .git""]","[""不得在未知目录直接 git init 掩盖路径错误""]","# 问题诊断
1. 当前目录没有被识别为Git仓库。
2. Git未能检测到现有的Git存储结构（如.git目录）。
3. 可能缺少或损坏了必要的Git初始化文件。
4. 
5. 

# 可能原因（按概率降序排序）
1. 当前目录不是一个有效的Git仓库。
2. Git配置文件（如.gitignore或.github/workflows.yaml）设置不正确，导致Git无法识别当前目录。
3. 环境变量中的GITHUB_OUTPUT或PATH设置有误。
4. 
5. 

# 建议的排查步骤
1. 检查当前目录是否存在，并确认其是否为有效的存储位置。
2. 查看是否有相关的Git初始化文件（如.git）存在。
3. 检查并修复Git配置文件，确保它们正确无误。
4. 
5. 

# 临时缓解措施
1. 手动创建或重置Git仓库。
2. 检查和修复Git配置文件。
3. 确保环境变量中的GITHUB_OUTPUT或PATH设置正确。
4. 
5. 

# 最终修复建议
1. 确认当前目录是一个有效的Git存储位置，并且包含必要的初始化文件。
2. 重新配置Git相关设置，确保它们与当前系统兼容。
3. 如果问题持续存在，考虑重新安装或重建Git仓库。
4. 
5.",,,,,,,
L004,linux_command,false,ssh 连接 22 端口返回 Connection refused，网络层怎么排查？,"[""linuxcomand_error_deepseek.csv:000006""]","[""目标 SSH 服务未监听、端口错误或连接被拒绝""]","[""确认目标地址和 sshd 监听端口"", ""检查防火墙、安全组和服务状态""]","[""不得为排障关闭全部防火墙规则""]","# 问题诊断
1. SSH 连接尝试失败，连接被拒绝。
2. 目标主机可能已更改其 SSH 密钥或认证信息。
3. SSH 服务未正确启动或配置不正确。
4. 
5. 

# 可能原因（按概率降序排序）
1. 目标主机的 SSH 密钥已更新或更改，导致旧密钥失效。
2. SSH 服务未正确启动或配置参数错误（如公钥验证、代理设置等）。
3. 目标主机上的 SSH 服务存在配置问题，例如端口错误或认证级别不匹配。
4. 
5. 

# 建议的排查步骤
1. 检查目标主机的 SSH 密钥是否已更新，并确认密钥文件路径是否正确。
2. 查看系统中添加的 SSH 公钥列表，确保包含所有需要连接的公钥。
3. 确认 SSH 服务是否正确启动并配置，包括端口、认证级别和代理设置。
4. 
5. 

# 临时缓解措施
1. 使用旧密钥尝试重新连接到目标主机。
2. 检查并备份当前添加的 SSH 公钥列表，确保其有效性和完整性。
3. 如果问题持续，考虑定期检查和更新目标主机上的 SSH 密钥，并在需要时重新添加到本地系统中。
4. 
5. 

# 最终修复建议
1. 详细检查目标主机的 SSH 配置文件（如 ssh_config），确认端口、认证级别和代理设置是否正确。
2. 更新目标主机上的 SSH 密钥，确保其与当前使用的公钥兼容，并在本地系统中重新添加这些密钥。
3. 如果问题持续或涉及复杂的配置问题，请参考官方文档或寻求技术支持，确保 SSH 连接的每一步都符合最新的安全规范和配置要求。
4. 
5.",,,,,,,
L005,linux_command,false,df 显示 no space left on device，磁盘告警如何处理？,"[""linuxcomand_error_deepseek.csv:000009""]","[""磁盘空间或 inode 已耗尽""]","[""检查 df -h 与 df -i"", ""定位大文件并按保留策略清理或扩容""]","[""不得未经确认直接删除数据库和日志目录""]","# 问题诊断
1. 磁盘空间不足：多个服务日志均显示磁盘空间不足，包括df、dd、PyApp等服务。
2. 分区过小或文件占用过多：部分日志提到磁盘空间不足可能与分区大小或文件占用有关。
3. 磁盘告警频率高：多个不同服务同时出现磁盘空间不足问题，提示可能是磁盘资源耗尽或异常。
4. 
5. 

# 可能原因（按概率降序排序）
1. 磁盘容量不足：磁盘总容量接近或已耗尽，无法满足当前应用需求。
2. 分区过小或文件占用过多：某些分区大小过小，或者已有大量文件占用导致空间不足。
3. 磁盘损坏或异常：磁盘出现物理损坏或系统错误，导致空间检测异常。
4. 
5. 

# 建议的排查步骤
1. 检查磁盘总容量和剩余空间，确认是否接近零。
2. 查看各分区大小及已占用空间情况，识别可能过小的分区。
3. 使用df命令查看详细磁盘使用情况，并尝试释放空闲空间。
4. 检查是否有未使用的分区，考虑扩展或删除不必要的分区。
5. 定期进行数据备份，确保关键数据安全。

# 临时缓解措施
1. 减少不必要的文件写入操作，避免进一步占用磁盘空间。
2. 清理旧的日志、缓存等文件，释放部分空间。
3. 使用df命令尝试释放空闲空间，并删除不再需要的目录结构。
4. 
5. 

# 最终修复建议
1. 检查磁盘容量并扩展或更换磁盘，确保有足够的存储空间支持应用运行。
2. 定期进行磁盘碎片整理和清理，避免因文件碎片化导致的空间浪费。
3. 更新系统和相关软件，确保其在最新版本下运行良好。
4. 
5.",,,,,,,
L006,linux_command,false,SSH 提示 REMOTE HOST IDENTIFICATION HAS CHANGED，应该直接删 known_hosts 吗？,"[""linuxcomand_error_deepseek.csv:000027""]","[""服务器主机密钥确实变更或存在中间人攻击风险""]","[""通过可信渠道核对新主机指纹"", ""确认变更后只移除对应主机旧条目""]","[""不得未验证指纹就禁用 StrictHostKeyChecking""]","# 问题诊断
1. SSH提示“REMOTE HOST IDENTIFICATION HAS CHANGED”表明远程主机标识符已更改。
2. 错误级别为ERROR，提示可能存在安全风险。
3. 可能的原因包括用户修改或删除了旧密钥文件、软件更新导致的问题或权限问题。
4. 
5. 

# 可能原因（按概率降序排序）
1. 用户自己修改或删除了旧的密钥文件。
2. 软件更新导致Paramiko库版本不兼容。
3. 权限问题，无法访问旧密钥文件。
4. 
5. 

# 建议的排查步骤
1. 检查是否有旧的密钥文件存在，并尝试加载它们。
2. 确认是否是软件版本冲突或Paramiko库的问题。
3. 检查权限设置，确保可以访问旧密钥文件。
4. 
5. 

# 临时缓解措施
1. 备份旧密钥文件并删除当前密钥文件。
2. 使用更安全的密钥管理工具，如keyring库。
3. 更新Paramiko库到最新版本以修复兼容性问题。
4. 
5. 

# 最终修复建议
1. 确保Paramiko库已更新至最新版本，并重新安装依赖项。
2. 检查并修复权限设置，确保可以访问旧密钥文件。
3. 如果问题持续，请联系系统管理员或Paramiko支持团队。
4. 
5.",,,,,,,
L007,linux_command,false,wget 访问站点时报 self signed certificate，证书验证失败怎么处理？,"[""linuxcomand_error_deepseek.csv:000038""]","[""服务使用自签证书或客户端缺少可信 CA""]","[""检查证书链、域名和有效期"", ""将经过验证的内部 CA 安装到信任库""]","[""不得长期使用 --no-check-certificate""]","# 问题诊断
1. SSL证书验证失败（CERTIFICATE_VERIFY_FAILED）：服务'wget'在访问站点时遇到此错误，具体信息为“SSL cer
2. 根据历史日志分析，该错误可能与证书自签名或证书过期有关。
3. 证书自签名可能导致其他地方无法验证证书的完整性，尤其是在使用不同CA证书的情况下。
4. 
5. 

# 可能原因（按概率降序排序）
1. 网站证书自签名：站点的SSL证书是其自身生成的，并未绑定到可信根证书，导致其他服务器无法验证。
2. 证书已过期：即使证书有效，如果它已经过期，也会引发验证失败。
3. SSL组件配置问题：服务器上的SSL组件可能未正确配置或缺少必要的信任商店。
4. 
5. 

# 建议的排查步骤
1. 检查目标站点的SSL证书是否自签名。可以通过查看证书颁发商（如Let's Encrypt）或使用ssleaks工具来确认。
2. 查看目标站点的SSL证书有效期，确保其尚未过期。
3. 确保服务器上的SSL组件正确配置，并且已安装必要的信任商店。
4. 
5. 

# 临时缓解措施
1. 在请求时启用 verify-certs参数：在wget命令中添加--verify-certs=none以避免证书验证。
2. 使用带有信任商店的证书：确保目标站点使用了包含可信根证书的信任商店。
3. 替换自签名证书：如果可能，替换目标站点的自签名证书为由第三方颁发的证书。
4. 
5. 

# 最终修复建议
1. 获取目标站点SSL证书的完整路径，并确保其已正确配置和验证。
2. 检查服务器上的SSL组件是否过时或缺少必要的信任商店，并及时更新。
3. 如果问题持续，考虑重新安装SSL组件或联系站点管理员进行证书更换。
4. 
5.",,,,,,,
